ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,1,6,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Sosialhjelpsmottakere i alt,Antall,1272
EliminatedValue,1,6,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Berørte av sosialhjelp,Antall,1749
EliminatedValue,1,6,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Berørte ektefeller/samboere,Antall,157
EliminatedValue,1,6,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Berørte barn i alt,Antall,320
EliminatedValue,1,6,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Barn av par,Antall,154
EliminatedValue,1,6,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Frogner,Barn av enslig forsørger,Antall,166
EliminatedValue,1,7,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Sosialhjelpsmottakere i alt,Antall,376
EliminatedValue,1,7,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Berørte av sosialhjelp,Antall,573
EliminatedValue,1,7,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Berørte ektefeller/samboere,Antall,74
EliminatedValue,1,7,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Berørte barn i alt,Antall,123
EliminatedValue,1,7,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Barn av par,Antall,68
EliminatedValue,1,7,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Ullern,Barn av enslig forsørger,Antall,55
EliminatedValue,1,8,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Sosialhjelpsmottakere i alt,Antall,557
EliminatedValue,1,8,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Berørte av sosialhjelp,Antall,914
EliminatedValue,1,8,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Berørte ektefeller/samboere,Antall,109
EliminatedValue,1,8,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Berørte barn i alt,Antall,248
EliminatedValue,1,8,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Barn av par,Antall,116
EliminatedValue,1,8,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Vestre Aker,Barn av enslig forsørger,Antall,132
EliminatedValue,1,9,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Sosialhjelpsmottakere i alt,Antall,1052
EliminatedValue,1,9,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Berørte av sosialhjelp,Antall,1513
EliminatedValue,1,9,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Berørte ektefeller/samboere,Antall,190
EliminatedValue,1,9,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Berørte barn i alt,Antall,271
EliminatedValue,1,9,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Barn av par,Antall,121
EliminatedValue,1,9,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Nordre Aker,Barn av enslig forsørger,Antall,150
EliminatedValue,1,10,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Sosialhjelpsmottakere i alt,Antall,1027
EliminatedValue,1,10,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Berørte av sosialhjelp,Antall,2055
EliminatedValue,1,10,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Berørte ektefeller/samboere,Antall,301
EliminatedValue,1,10,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Berørte barn i alt,Antall,727
EliminatedValue,1,10,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Barn av par,Antall,434
EliminatedValue,1,10,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Bjerke,Barn av enslig forsørger,Antall,293
EliminatedValue,1,11,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Sosialhjelpsmottakere i alt,Antall,1251
EliminatedValue,1,11,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Berørte av sosialhjelp,Antall,2267
EliminatedValue,1,11,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Berørte ektefeller/samboere,Antall,292
EliminatedValue,1,11,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Berørte barn i alt,Antall,724
EliminatedValue,1,11,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Barn av par,Antall,380
EliminatedValue,1,11,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Grorud,Barn av enslig forsørger,Antall,344
EliminatedValue,1,12,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Sosialhjelpsmottakere i alt,Antall,1040
EliminatedValue,1,12,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Berørte av sosialhjelp,Antall,2066
EliminatedValue,1,12,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Berørte ektefeller/samboere,Antall,277
EliminatedValue,1,12,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Berørte barn i alt,Antall,749
EliminatedValue,1,12,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Barn av par,Antall,476
EliminatedValue,1,12,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Stovner,Barn av enslig forsørger,Antall,273
EliminatedValue,1,13,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Alna,Sosialhjelpsmottakere i alt,Antall,1430
